timestamp_sec,avg_ear,is_blinking_frame,blink_count_total,blink_rate_bps
15.541,0.3188,0,5,0.3217
15.557,0.3166,0,5,0.3214
15.572,0.3209,0,5,0.3211
15.587,0.3198,0,5,0.3208
15.602,0.3187,0,5,0.3205
15.617,0.3192,0,5,0.3202
15.633,0.3144,0,5,0.3198
15.648,0.3178,0,5,0.3195
15.663,0.3165,0,5,0.3192
15.678,0.3149,0,5,0.3189
15.694,0.3171,0,5,0.3186
15.709,0.3147,0,5,0.3183
15.724,0.3168,0,5,0.3180
15.740,0.3180,0,5,0.3177
15.756,0.3183,0,5,0.3173
15.772,0.3169,0,5,0.3170
15.787,0.3152,0,5,0.3167
15.803,0.3166,0,5,0.3164
15.818,0.3174,0,5,0.3161
15.834,0.3158,0,5,0.3158
15.849,0.3135,0,5,0.3155
15.865,0.3156,0,5,0.3152
15.880,0.3144,0,5,0.3149
15.897,0.3217,0,5,0.3145
15.913,0.3116,0,5,0.3142
15.930,0.3146,0,5,0.3139
15.944,0.3141,0,5,0.3136
15.960,0.3180,0,5,0.3133
15.974,0.3176,0,5,0.3130
15.990,0.3189,0,5,0.3127
16.005,0.3139,0,5,0.3124
16.019,0.3125,0,5,0.3121
16.035,0.3163,0,5,0.3118
16.050,0.3164,0,5,0.3115
16.065,0.3201,0,5,0.3112
16.079,0.3221,0,5,0.3110
16.095,0.3229,0,5,0.3107
16.111,0.3182,0,5,0.3103
16.126,0.3183,0,5,0.3101
16.142,0.3178,0,5,0.3097
16.157,0.3207,0,5,0.3095
16.173,0.3240,0,5,0.3091
16.189,0.3252,0,5,0.3089
16.205,0.3242,0,5,0.3085
16.220,0.3236,0,5,0.3083
16.235,0.3196,0,5,0.3080
16.250,0.3188,0,5,0.3077
16.266,0.3180,0,5,0.3074
16.281,0.3208,0,5,0.3071
16.299,0.3192,0,5,0.3068
16.314,0.3181,0,5,0.3065
16.329,0.3145,0,5,0.3062
16.344,0.3165,0,5,0.3059
16.359,0.3176,0,5,0.3056
16.373,0.3177,0,5,0.3054
16.389,0.3154,0,5,0.3051
16.404,0.3161,0,5,0.3048
16.420,0.3182,0,5,0.3045
16.435,0.3153,0,5,0.3042
16.450,0.3165,0,5,0.3039
16.465,0.3160,0,5,0.3037
16.481,0.3191,0,5,0.3034
16.496,0.3193,0,5,0.3031
16.512,0.3212,0,5,0.3028
16.527,0.3219,0,5,0.3025
16.542,0.3212,0,5,0.3023
16.557,0.3220,0,5,0.3020
16.572,0.3222,0,5,0.3017
16.588,0.3221,0,5,0.3014
16.603,0.3228,0,5,0.3011
16.618,0.3229,0,5,0.3009
16.634,0.3223,0,5,0.3006
16.649,0.3198,0,5,0.3003
16.664,0.2932,0,5,0.3001
16.679,0.1230,1,5,0.2998
16.694,0.1326,1,5,0.2995
16.709,0.2194,1,5,0.2992
